source_sitemap,source_url,status,target,locale,reason
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/make-up-van-iveco-daily-irisbus/","308","/vozila/make-up-van-iveco-daily-irisbus","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/kamion-eurocargo-75e15-taillift-grip-electric/","308","/vozila/kamion-eurocargo-75e15","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/honeywagon-wc-prikolica-vacum-jet-211/","308","/vozila/honeywagon-vacum-jet-2","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/tegljac-lamboo-iveco-daily-35c18-be-kat/","308","/vozila/tegljac-lamboo-iveco-daily","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/make-up-truck-21-radna-mjesta-peugeot-boxer/","308","/vozila/make-up-truck-peugeot-boxer","",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/benimar-mileo-263/","410","","","removed_vehicle"
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/caravans-international-elliot-86xt-170ks/","410","","","removed_vehicle"
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/costume-truck-renault-master-box/","308","/vozila/costume-truck-renault-master?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/gully-sucker-iveco-daily-35c15/","308","/vozila/gully-sucker-iveco-daily-35c15","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/roller-team-kronos-279m/","410","","","removed_vehicle"
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/rimor-kilig-50/","308","/vozila/rimor-kilig-50?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/roller-team-kronos-277m/","308","/vozila/roller-team-kronos-277m?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/citroen-unitvan/","308","/vozila/citroen-unitvan","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/petrovan-53-4x4/","308","/vozila/petrovan-53-4x4","",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/xgo-dynamic-35/","410","","","removed_vehicle"
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/honeywagon-wc-trailer-vacum-jet-211/","308","/vozila/honeywagon-vacum-jet-2?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/truck-eurocargo-75e15-taillift-grip-electric/","308","/vozila/kamion-eurocargo-75e15?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/make-up-van-iveco-daily-irisbus/","308","/vozila/make-up-van-iveco-daily-irisbus?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/motor-home-petromax-50-green-room/","410","","","removed_vehicle"
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/citroen-unitvan/","308","/vozila/citroen-unitvan?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/gully-sucker-iveco-daily-35c15/","308","/vozila/gully-sucker-iveco-daily-35c15?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/make-up-truck-21-work-stations-peugeot-boxer/","308","/vozila/make-up-truck-peugeot-boxer?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/costume-truck-renault-master-box/","308","/vozila/costume-truck-renault-master","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/rimor-evo-sound/","308","/vozila/rimor-evo-sound","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/rimor-kilig-50/","308","/vozila/rimor-kilig-50","",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/rimor-evo-sound/","308","/vozila/rimor-evo-sound?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/knaus-boxdrive-680me/","308","/vozila/knaus-boxdrive-680me?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/caratour-ford-600mq/","308","/vozila/caratour-ford-600mq?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/petrovan-53-4x4/","308","/vozila/petrovan-53-4x4?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/honeywagon-trailer-wc-vacum-jet-11/","308","/vozila/honeywagon-vacum-jet-1?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/honeywagon-prikolica-wc-vacum-jet-11/","308","/vozila/honeywagon-vacum-jet-1","",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/mclouis-mc4-873/","308","/vozila/mclouis-mc4-873?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/weinsberg-caraone-450fu/","410","","","removed_vehicle"
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/wenisberg-caraone-550qdk/","308","/vozila/weinsberg-caraone-550qdk","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/weisberg-caraone-550uk/","308","/vozila/weinsberg-caraone-550uk","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/mclouis-mc4-873/","308","/vozila/mclouis-mc4-873","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/caratour-ford-600mq/","308","/vozila/caratour-ford-600mq","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/knaus-boxdrive-680me/","308","/vozila/knaus-boxdrive-680me","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/roller-team-kronos-277m/","308","/vozila/roller-team-kronos-277m","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/weinsberg-caracompact-suite-640meg-edition-pepper/","308","/vozila/weinsberg-caracompact-suite-640meq","",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/caravans-international-horon-79m/","308","/vozila/ci-horon-79m","",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/caravans-international-horon-79m/","308","/vozila/ci-horon-79m?lang=en","en",""
"vehicle-sitemap.xml","https://www.petroni.hr/vehicle/budgetvan-55/","308","/vozila/budget-van-55","",""
"vehicle-sitemap.xml","https://www.petroni.hr/en/vehicle/budgetvan-55/","308","/vozila/budget-van-55?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/en/product/salice-300-ml-melamin-sunshine-set/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/posude-melamin-vicenza-za-4-osobe/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/sklop-pogonski-za-pumpu-vode-faimma-aqua-8/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/termozastita-prednjeg-stakla-za-ford-transit-06-13/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/svjetiljka-17-led-sa-kompasom/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/resetka-ventilacije-70cm2/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/sperploca-viseslojna-topola-2200x1220x12mm/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/sperploca-viseslojna-topola-2200x1220x12mm-2/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/termozastita-prednjeg-stakla-fiat-ducato-06-nutarnja/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/stol-za-kampiranje-ulf-3-115x70/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/stol-kamperski-120x60x70/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/prekrivac-kamp-prikolice-premium-580cm/","308","/product/prekrivac-za-kamp-prikolicu-reimotent-premium-520-580?lang=en","en",""
"product-sitemap.xml","https://www.petroni.hr/en/product/prekrivac-kamp-prikolice-600x300/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/sudoper-sa-ocjedivacem-dometic-mod-936/","410","","","removed_product"
"product-sitemap.xml","https://www.petroni.hr/en/product/pumpa-za-vodu-popopna-reich-twin-12v-19-lit-14bar/","410","","","removed_product"
